"","municipios_origen","municipios_destino","n"
"1","Miguel Hidalgo","Miguel Hidalgo",306
"2","Iztapalapa","Iztapalapa",289
"3","Álvaro Obregón","Álvaro Obregón",176
"4","Benito Juárez","Benito Juárez",145
"5","Cuauhtémoc","Cuauhtémoc",119
"6","Gustavo A. Madero","Gustavo A. Madero",103
"7","Tlalpan","Tlalpan",97
"8","La Magdalena Contreras","La Magdalena Contreras",95
"9","Xochimilco","Xochimilco",59
"10","Venustiano Carranza","Venustiano Carranza",58
"11","Coyoacán","Coyoacán",49
"12","Azcapotzalco","Azcapotzalco",22
"13","Ecatepec de Morelos","Ecatepec de Morelos",22
"14","Cuajimalpa de Morelos","Cuajimalpa de Morelos",20
"15","Iztacalco","Iztacalco",8
"16","Tláhuac","Tláhuac",6
"17","Coacalco de Berriozábal","Coacalco de Berriozábal",5
"18","Milpa Alta","Milpa Alta",5
"19","Nezahualcóyotl","Nezahualcóyotl",3
"20","Chalco","Chalco",1
"21","Cuautitlán Izcalli","Cuautitlán Izcalli",1
"22","Ixtapaluca","Ixtapaluca",1
"23","La Paz","La Paz",1
"24","Naucalpan de Juárez","Naucalpan de Juárez",1
"25","Tecámac","Tecámac",1
"26","Tultepec","Tultepec",1
"27","Valle de Chalco Solidaridad","Valle de Chalco Solidaridad",1
