"","V1","V2","V3"
"1","UberX","7.77469","35"
"2","UberX","16.49554","35"
"3","UberX","7.09639","35"
"4","UberX","8.46925","35"
"5","UberX","13.24534","35"
"6","UberX","9.08995","35"
"7","UberX","16.00159","35"
"8","UberX","7.82761","35"
"9","UberX","25.82839","35"
"10","UberX","7.9012","35"
"11","UberX","9.54211","35"
"12","UberX","39.45025","39.45025"
"13","UberX","21.32785","35"
"14","UberX","21.6925","35"
"15","UberX","13.52725","35"
"16","UberX","24.31714","35"
"17","UberX","9.15211","35"
"18","UberX","12.06931","35"
"19","UberX","8.84566","35"
"20","UberX","7.21282","35"
"21","UberX","8.89063","35"
"22","UberX","22.50598","35"
"23","UberX","18.71716","35"
"24","UberX","7.17493","35"
"25","UberX","24.79384","35"
"26","UberX","41.45158","41.45158"
"27","UberX","12.02329","35"
"28","UberX","11.12347","35"
"29","UberX","8.69854","35"
"30","UberX","7.51138","35"
"31","UberX","35.8696","35.8696"
"32","UberX","7.90282","35"
"33","UberX","9.43207","35"
"34","UberX","7.38211","35"
"35","UberX","17.99071","35"
"36","UberX","20.68876","35"
"37","UberX","19.63354","35"
"38","UberX","16.26256","35"
"39","UberX","9.83044","35"
"40","UberX","24.28312","35"
"41","UberX","18.47227","35"
"42","UberX","16.48903","35"
"43","UberX","7.7428","35"
"44","UberX","19.46014","35"
"45","UberX","8.28988","35"
"46","UberX","12.02761","35"
"47","UberX","13.68169","35"
"48","UberX","7.85923","35"
"49","UberX","14.33548","35"
"50","UberX","9.52276","35"
"51","UberX","9.44065","35"
"52","UberX","18.54325","35"
"53","UberX","11.07562","35"
"54","UberX","9.39919","35"
"55","UberX","10.15495","35"
"56","UberX","26.88742","35"
"57","UberX","10.85836","35"
"58","UberX","22.61083","35"
"59","UberX","9.91495","35"
"60","UberX","8.05282","35"
"61","UberX","24.99046","35"
"62","UberX","10.30303","35"
"63","UberX","17.69023","35"
"64","UberX","7.79848","35"
"65","UberX","15.99355","35"
"66","UberX","8.38051","35"
"67","UberX","14.19124","35"
"68","UberX","10.12228","35"
"69","UberX","8.05138","35"
"70","UberX","12.02203","35"
"71","UberX","25.68673","35"
"72","UberX","15.01558","35"
"73","UberX","26.38627","35"
"74","UberX","10.87462","35"
"75","UberX","16.5247","35"
"76","UberX","8.44996","35"
"77","UberX","7.24996","35"
"78","UberX","8.94001","35"
"79","UberX","25.87606","35"
"80","UberX","13.12138","35"
"81","UberX","36.71494","36.71494"
"82","UberX","10.18351","35"
"83","UberX","12.59854","35"
"84","UberX","25.29031","35"
"85","UberX","38.5228","38.5228"
"86","UberX","14.00167","35"
"87","UberX","18.08044","35"
"88","UberX","16.71568","35"
"89","UberX","10.47193","35"
"90","UberX","8.4328","35"
"91","UberX","7.60351","35"
"92","UberX","8.70568","35"
"93","UberX","8.17564","35"
"94","UberX","7.16497","35"
"95","UberX","8.00854","35"
"96","UberX","9.52276","35"
"97","UberX","7.37986","35"
"98","UberX","8.45992","35"
"99","UberX","36.02206","36.02206"
"100","UberX","7.60333","35"
"101","UberX","8.49211","35"
"102","UberX","19.02331","35"
"103","UberX","8.94001","35"
"104","UberX","30.46111","35"
"105","UberX","14.53639","35"
"106","UberX","28.52857","35"
"107","UberX","10.54282","35"
"108","UberX","29.66677","35"
"109","UberX","26.68135","35"
"110","UberX","12.03925","35"
"111","UberX","21.83353","35"
"112","UberX","10.00282","35"
"113","UberX","7.40491","35"
"114","UberX","13.30201","35"
"115","UberX","14.55154","35"
"116","UberX","17.60416","35"
"117","UberX","8.42203","35"
"118","UberX","24.07891","35"
"119","UberX","20.85925","35"
"120","UberX","7.93921","35"
"121","UberX","13.59073","35"
"122","UberX","13.36324","35"
"123","UberX","8.65834","35"
"124","UberX","39.02149","39.02149"
"125","UberX","8.4328","35"
"126","UberX","7.87483","35"
"127","UberX","9.36334","35"
"128","UberX","8.03854","35"
"129","UberX","19.69804","35"
